;Tectonic_setting;Location_notes;Pluton;Colour;Symbol;Size_rel;Size;SubGroup;Group;DebonPQ;TASMiddlemostPlut;Villaseca;QANOR;LaRoche;Geol_unit_notes;Rock_type_notes;Ref;Age;Latitude;Longitude;SiO2;TiO2;Al2O3;FeOt;MnO;MgO;CaO;K2O;Na2O;P2O5;H2O;H2Ot;H2O.MINUS;LOI;Li;Be;B;Sc;V;Cr;Ni;Cu;Zn;Rb;Sr;Y;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Pb;Th;U;Co;Mo;W;Ga;Ge;As;In;Sn;Sb;Cd;Q;C;Or;Ab;An;Ne;Ns;Ks;Di;Wo;Hy;Ol;Il;Tn;Pf;Ru;Ap;Sum_CIPW;Orthoclase;Albite;Anorthite;Quartz;Apatite;Ilmenite;Biotite;Amphibole;Corundum;Rest;sum_meso;P;K;Ti;Cr2O3;A/NK;A/CNK;K2O/Na2O
CR03;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;quartz monzonite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;65.4069;0.8270369;17.0849;4.91441;0.077148969;1.796028;1.8135151;5.131949;2.660096;0.2880228;;;;;;;;;;;;;;269.0154;97.21508;52.24591;305.22628;25.359022;;390.47594;56.40085;112.1662;13.223848;52.34722;11.393739;1.2494124;10.838077;1.626538;9.835326;2.0249699;6.206267;0.8976863;6.0772403;;8.747229;;;26.782157;;;;;;;;;;;;24.54892762;4.546012844;30.32834921;22.50899079;7.115483152;0;0;0;0;0;4.474137098;0;0.165038782;0;0;0.740502479;0.682218536;95.10966051;25.62016414;22.53101312;7.10929202;27.2024611;0.679733808;0.785685055;6.932013824;0;4.544585173;-0.319351469;95.08559677;1257.104313;42601.84823;4958.086216;;1.720333893;1.291517714;1.929234509
BB202;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granodiorite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;69.64232;0.7087655;14.88713;4.186309;0.053972086;1.629346;1.4368795;5.018386;2.215911;0.22098;;;;;;;;;;;;;;214.2795;98.96108;38.28057;260.1457;19.911767;;415.69092;44.29357;90.0286;10.382656;39.39793;7.655565;1.0286014;8.160105;1.1358404;8.071263;1.5161497;3.946216;0.5438978;3.7401915;;7.342101;;;19.492634;;;;;;;;;;;;32.66955125;3.726173325;29.65722439;18.75042115;5.684927552;0;0;0;0;0;4.058910766;0;0.115458281;0;0;0.648284566;0.52341916;95.83437044;25.43081186;18.76876617;5.680122064;35.07460177;0.5215128;0.673327225;6.222967281;0;3.726781632;-0.285200721;95.81369009;964.489308;41659.1277;4249.049173;;1.640002647;1.273483574;2.264705577
CB02;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;70.61077;0.5705854;15.28393;2.822104;0.053180775;1.3306273;1.204323;5.597277;2.329983;0.197212;;;;;;;;;;;;;;238.5302;90.38265;29.96433;186.04154;15.138216;;547.52183;32.36167;63.93163;7.248746;28.7628;6.040634;1.076092;5.3337;0.8584825;5.574644;1.0885895;3.174243;0.4446103;2.7554721;;5.434977;;;14.798949;;;;;;;;;;;;31.63569269;3.674627603;33.07830445;19.71566661;4.6864492;0;0;0;0;0;3.314764005;0;0.113765491;0;0;0.510935205;0.467121637;97.19732689;29.62020684;19.73495601;4.682255674;33.59253127;0.46542032;0.54205613;5.098138962;0;3.676313139;-0.233989868;97.17788848;860.7514952;46464.67556;3420.659473;;1.545114143;1.265066893;2.402282334
HB02;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;70.61724;0.4775028;15.70859;2.508109;0.040660718;0.9779424;1.3115688;5.28068;2.877528;0.2001758;;;;;;;;;;;;;;254.2501;116.29881;36.86868;181.92369;15.157796;;499.12979;34.12151;70.41246;8.06835;30.55275;6.613892;1.2179917;6.696204;1.0960613;7.270367;1.3167061;3.774652;0.531175;3.354008;;5.152241;;;15.483984;;;;;;;;;;;;29.97338393;3.353324166;31.20730683;24.34883976;5.199155472;0;0;0;0;0;2.436180489;0;0.086982308;0;0;0.431913798;0.474141773;97.51122853;28.63038608;24.37266216;5.19479025;31.40372201;0.472414888;0.45362766;3.789477803;0;3.351381526;-0.176573859;97.49188852;873.6872967;43836.50888;2862.629286;;1.503237098;1.223927236;1.83514461
CR01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3a granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;70.70878;0.5322106;15.28031;2.535746;0.060855686;1.2071555;1.2359237;5.569955;2.642243;0.2268257;;;;;;;;;;;;;;233.7445;91.32626;38.96812;172.63487;14.632829;;408.24439;32.54389;62.92283;7.49205;29.71011;6.455299;1.0194147;6.264685;1.0442407;6.880438;1.2721107;3.81683;0.4902676;3.0146573;;4.650457;;;14.926382;;;;;;;;;;;;30.22192717;3.200335241;32.91683926;22.35792368;4.64974963;0;0;0;0;0;3.007179847;0;0.13018383;0;0;0.463898939;0.537265442;97.48530304;29.75505652;22.37979821;4.645108329;31.99385861;0.535308652;0.50560007;4.664697237;0;3.200602578;-0.215771021;97.46425919;990.0034502;46237.86744;3190.602547;;1.47267299;1.210503981;2.108040404
LL01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;70.96736;0.4840032;15.4829;2.469707;0.039552952;1.0065185;1.4769905;5.327158;2.559492;0.1863152;;;;;;;;;;;;;;252.2781;105.23949;28.45654;205.42431;14.455902;;659.13821;38.13334;75.50494;8.508543;30.74074;7.419651;1.1426932;6.625065;0.96277;5.693732;1.1126786;2.679916;0.4972442;2.5144435;;5.233406;;;17.626765;;;;;;;;;;;;31.5593476;3.266558651;31.4819785;21.65770779;6.11040533;0;0;0;0;0;2.507367235;0;0.08461255;0;0;0.43966478;0.441311184;97.54895362;28.83700807;21.67889724;6.106030003;33.03364493;0.439703872;0.45980304;3.88978546;0;3.265888486;-0.180470744;97.53029035;813.1913219;44222.33671;2901.599184;;1.55186641;1.222739744;2.081334108
MP21;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;m-P;3a granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;72.39802;0.4696716;14.28857;2.680885;0.042217669;1.0280002;1.087105;5.051344;2.751537;0.2026448;;;;;;;;;;;;;;247.1275;79.24161;32.7068;186.63691;15.390806;;415.77994;31.52592;62.33198;6.803248;27.88203;5.80222;0.8890019;6.462497;1.0203803;6.386304;1.2608077;3.277106;0.4973881;3.5394606;;5.218342;;;14.54273;;;;;;;;;;;;33.7782818;2.802852038;29.85199673;23.28273904;4.069410478;0;0;0;0;0;2.560880917;0;0.090312972;0;0;0.422325492;0.479989913;97.33878939;27.16240709;23.30551839;4.065284765;35.28345347;0.478241728;0.44618802;3.96063203;0;2.801385198;-0.184000428;97.31911027;884.4634941;41932.72195;2815.681242;;1.429667394;1.193604603;1.835826304
OK07;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;73.16647;0.4284571;14.39149;2.404058;0.060450624;0.7688895;1.0615978;5.041794;2.458325;0.2184707;;;;;;;;;;;;;;248.2505;70.02165;35.48285;168.89402;12.799391;;302.92135;26.81514;54.06905;6.240733;25.10319;5.916659;0.833015;6.174256;0.9906421;6.272876;1.3027391;3.84851;0.5706377;3.4915369;;5.508794;;;12.961712;;;;;;;;;;;;36.77452318;3.482742969;29.79555897;20.80166084;3.839467049;0;0;0;0;0;1.915402787;0;0.129317312;0;0;0.360556213;0.517475564;97.61670489;27.7022845;20.82201275;3.835153721;37.89426422;0.515590852;0.407034245;3.082360325;0;3.482862244;-0.14561813;97.59594472;953.5372172;41853.44453;2568.600315;;1.514633126;1.258892531;2.050906206
LG05;OROGENIC BELT;////////Langebaan//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;m-P;3a granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;73.17825;0.3625764;14.35444;2.246656;0.021080025;0.6777228;1.0961613;5.046558;2.857397;0.1591542;;;;;;;;;;;;;;297.2573;74.33078;35.00304;153.72508;19.140883;;215.79222;33.69204;67.36999;7.627675;28.50916;6.739511;0.6442281;5.7432;1.069726;6.277905;1.2961415;3.852538;0.4727437;3.4510253;;4.801378;;;23.833241;;;;;;;;;;;;34.34128571;2.579151977;29.82371284;24.17849685;4.398481395;0;0;0;0;0;1.688294794;0;0.045094856;0;0;0.338991776;0.37697691;97.77048711;28.02908908;24.20215259;4.39494567;35.32367592;0.375603912;0.34444758;2.630485643;0;2.576790794;-0.12385147;97.75333973;694.6444213;41892.99193;2173.645518;;1.412379813;1.180815749;1.766138202
BB201;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;unclassified;granite;h-P;unclassified;unclassified;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;74.77016;0.5301808;13.54476;2.728587;0.047150467;1.1798095;1.4312786;3.283768;2.303038;0.1812674;;;;;;;;;;;;;;176.7628;75.84508;33.19053;204.4354;15.83438;;224.085;41.93688;71.53442;7.901794;31.64988;6.897864;0.7656169;6.383042;0.9486139;5.864937;1.2871673;3.461966;0.5302717;3.8131018;;5.604947;;;17.358534;;;;;;;;;;;;44.50020168;4.033198172;19.40612867;19.48766553;5.916597779;0;0;0;0;0;2.939057438;0;0.100865322;0;0;0.477305145;0.429354829;97.29037456;16.32544315;19.50673186;5.912347935;46.23875535;0.427791064;0.50367176;4.536515247;0;4.02882761;-0.20867121;97.27141277;791.159694;27259.5433;3178.433896;;1.844529725;1.361884418;1.425841866
BB203;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;1;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;diorite;unclassified;unclassified;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;61.08795;1.9111071;15.4072;10.384547;0.173359521;3.5014471;1.4138663;4.343331;1.299677;0.4775172;;;;;;;;;;;;;;414.303;38.88491;181.31496;632.64919;57.503189;;143.83379;103.91328;216.17414;25.539389;100.33796;22.117669;0.5797674;21.182998;3.7164636;29.041529;6.8251495;24.234526;4.0749683;29.7575502;;17.571791;;;51.326131;;;;;;;;;;;;30.00922882;7.140349227;25.66784262;10.99750446;3.894698937;0;0;0;0;0;8.722555755;0;0.370854523;0;0;1.716680857;1.131060058;89.65077526;16.28463753;11.00826419;3.886376236;35.21208883;1.126940592;1.815551745;13.76842966;0;7.145886125;-0.632719692;89.61545522;2084.171571;36055.29363;11457.08706;;2.252677259;1.637279679;3.341854168
OLD02;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;1;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;diorite;unclassified;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;61.45151;1.7132862;16.18593;9.300091;0.17949736;3.1750611;1.3069987;4.895871;1.403734;0.3880153;;;;;;;;;;;;;;212.0438;90.50354;26.31448;79.45858;5.459642;;407.01644;16.30559;33.01995;3.546534;13.7361;3.04713;1.0237005;3.076547;0.6407949;4.305933;0.8437408;2.911657;0.5075466;3.7655336;;2.667854;;;7.514167;;;;;;;;;;;;28.11592297;7.129807105;28.93319582;11.87800579;3.949255316;0;0;0;0;0;7.909486186;0;0.383984724;0;0;1.5118599;0.919063455;90.73058126;20.40755613;11.88962698;3.94229978;32.82968059;0.915716108;1.62762189;12.52470136;0;7.135658543;-0.572957728;90.69990366;1693.531578;40642.09393;10271.15077;;2.127268972;1.620990298;3.487748391
BB01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;ad;granodiorite;h-P;unclassified;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;66.20815;1.7695713;15.62782;6.846932;0.133066613;2.3833947;2.1558938;2.361932;2.10653;0.4067117;;;;;;;;;;;;;;233.4319;100.91622;52.75669;387.2809;29.275934;;197.73029;52.22324;105.65629;13.162262;52.6002;10.706243;1.0449141;12.090271;1.7379564;9.891546;2.062493;5.987448;0.9329153;6.8513928;;9.707605;;;17.55056;;;;;;;;;;;;37.89722863;6.65966421;13.95834185;17.82486962;8.038659156;0;0;0;0;0;5.937343208;0;0.284659043;0;0;1.62046701;0.96334825;93.18458097;7.280087811;17.8423091;8.030410406;41.43721232;0.959839612;1.681092735;9.721038002;0;6.654516412;-0.453436283;93.15307011;1775.133886;19607.10611;10608.57994;;2.595080657;1.57189753;1.121242992
BB11;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granodiorite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;68.50674;0.9450154;14.99537;4.642333;0.075135607;1.9249531;1.7164782;4.321885;2.667843;0.2042419;;;;;;;;;;;;;;270.2572;95.42299;32.98972;348.13189;27.768184;;354.07652;54.82614;113.22841;13.431555;52.50071;9.786516;1.0508652;8.636806;1.1688549;6.893307;1.2411863;3.195927;0.4346702;2.5588345;;9.658084;;;24.446614;;;;;;;;;;;;30.48367208;3.296415057;25.5411029;22.57454375;7.181434318;0;0;0;0;0;4.795306129;0;0.160731753;0;0;0.860800436;0.483772847;95.37777927;20.47038686;22.59663021;7.176519304;33.33075336;0.482010884;0.89776463;7.450902378;0;3.292473667;-0.33977909;95.35766221;891.4341967;35877.26395;5665.367323;;1.653831636;1.230338533;1.619992256
BB02A;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gd;granodiorite;h-P;unclassified;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;68.90272;0.8492849;14.83329;5.63205;0.065566025;2.4075025;2.0673787;2.294811;2.749675;0.1977225;;;;;;;;;;;;;;195.0281;79.18398;35.30099;214.72259;18.134691;;134.88228;38.96764;73.68496;8.666601;32.57835;7.042247;0.8661732;6.64036;1.0189016;6.410093;1.2804639;3.519909;0.4643871;3.0258223;;6.035973;;;15.955884;;;;;;;;;;;;36.67202542;4.540286962;13.56167596;23.26698332;8.964922279;0;0;0;0;0;5.997398843;0;0.140260291;0;0;0.775806696;0.468330821;94.38769059;7.448336488;23.28974725;8.9596696;40.24482147;0.4666251;0.806820655;9.02902206;0;4.53030967;-0.407401668;94.36795063;862.9796235;19049.91455;5091.462976;;2.116782416;1.37773337;0.834575359
CR02;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.62353;0.4899112;14.78217;3.236181;0.037114483;1.2937048;1.3700546;4.653096;2.318065;0.1961766;;;;;;;;;;;;;;203.1848;93.87624;26.86912;202.96073;15.941322;;550.66855;32.98854;65.13479;7.251148;29.92136;5.971131;0.9063775;5.785251;0.8981269;5.139272;1.1291402;2.261085;0.3657392;2.0505119;;5.286819;;;14.457673;;;;;;;;;;;;36.02849238;3.910681679;27.49846508;19.61481982;5.515444631;0;0;0;0;0;3.222785302;0;0.079396123;0;0;0.448321943;0.464669161;96.78307612;24.1924951;19.63401055;5.51106338;37.93327684;0.462976776;0.46541564;4.878748522;0;3.909814362;-0.223978479;96.76382268;856.2323884;38626.74582;2937.017644;;1.670273495;1.303401341;2.007319035
CB103;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;69.69844;0.5247099;15.72873;3.16641;0.045034982;1.2211811;1.5186215;5.189496;2.706288;0.2010864;;;;;;;;;;;;;;228.5765;104.18413;30.68803;180.6509;16.17629;;405.11272;35.51761;69.13623;7.817547;30.86002;6.207132;0.8239126;6.104425;0.9047897;6.347179;1.1498711;2.912385;0.3867652;2.5704266;;5.087004;;;15.65378;;;;;;;;;;;;29.59570984;3.379581605;30.6684355;22.89985462;6.220439973;0;0;0;0;0;3.042119423;0;0.09633983;0;0;0.474214627;0.476298645;96.85299406;27.49904032;22.92225936;6.215809762;31.39025301;0.474563904;0.498474405;4.67057627;0;3.377897957;-0.215287106;96.83358788;877.6617014;43079.56314;3145.635851;;1.562027063;1.225872471;1.917569749
CB04;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;69.76368;0.4698065;16.38619;2.679525;0.035261417;1.1594784;1.3907518;5.536043;2.390517;0.1887523;;;;;;;;;;;;;;223.7133;127.47972;25.00343;172.29434;15.410801;;867.33149;32.36259;63.42904;7.190036;28.62475;5.943399;1.270207;21.218995;0.9091957;5.39104;0.9019894;2.507479;0.2847565;1.8058615;;5.258033;;;13.868612;;;;;;;;;;;;30.50256125;4.384361374;32.71642905;20.22788845;5.666633749;0;0;0;0;0;2.888410049;0;0.075432003;0;0;0.430295636;0.447083764;97.33909531;29.73347372;20.24767899;5.662329869;32.20480502;0.445455428;0.446316175;4.397835684;0;4.38520076;-0.202615219;97.32048042;823.8282886;45956.35376;2816.489968;;1.650987891;1.31575915;2.315835026
LL10;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.21874;0.5667648;15.32181;2.837142;0.044373049;1.0931906;1.4320393;4.773128;2.510103;0.2027042;;;;;;;;;;;;;;256.4843;91.13717;31.98243;200.5743;17.156947;;447.95475;42.52136;86.8488;10.027296;36.23599;7.790502;1.0233689;7.399862;1.0649034;6.46045;1.141969;3.205889;0.3699702;2.7887741;;5.517143;;;20.376612;;;;;;;;;;;;34.23180239;3.907401016;28.20781983;21.23979184;5.780317011;0;0;0;0;0;2.723278601;0;0.094923808;0;0;0.517033526;0.480130609;97.18249863;25.30916667;21.26057241;5.77576999;35.83689502;0.478381912;0.53842656;4.255553965;0;3.905826854;-0.197740429;97.16285295;884.7227513;39623.16747;3397.754976;;1.648215846;1.287571182;1.901566589
SB01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.60774;0.5224897;15.149;2.642049;0.04905005;1.1174881;1.3595394;4.725866;2.630575;0.1962002;;;;;;;;;;;;;;243.5999;80.88744;30.8447;175.04207;15.904356;;289.56183;33.32231;68.21093;7.906742;30.86398;6.237646;0.937598;6.394072;1.0274394;6.535987;1.0091691;3.268832;0.4754518;2.3861067;;5.203623;;;15.946687;;;;;;;;;;;;34.20177109;3.70381019;27.92851495;22.25919232;5.463122233;0;0;0;0;0;2.783806803;0;0.104928952;0;0;0.467471076;0.46472506;97.37734267;24.99358808;22.28097025;5.458753475;35.84253873;0.463032472;0.496365215;4.320866928;0;3.701605622;-0.199772325;97.35794845;856.3353929;39230.83143;3132.325752;;1.604252718;1.271424277;1.79651445
ST100;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.72355;0.447909;14.99544;2.512178;0.036973622;0.9021564;1.3373887;5.221732;2.632522;0.1901501;;;;;;;;;;;;;;252.1408;80.05742;36.98019;180.29282;14.059484;;366.79817;29.40452;56.94033;6.87742;26.0772;5.831358;0.8170377;6.230641;0.9187607;6.722911;1.3265703;3.916974;0.5319909;3.5219791;;4.92194;;;14.58327;;;;;;;;;;;;32.75990918;3.036085886;30.85894103;22.27566729;5.392755362;0;0;0;0;0;2.247387801;0;0.07909479;0;0;0.406459995;0.450394631;97.50669597;28.47821716;22.29746134;5.388497217;34.07816258;0.448754236;0.42551355;3.499494231;0;3.035077306;-0.163355805;97.48782182;829.9291265;43347.16385;2685.214455;;1.502101016;1.20788164;1.983547336
OLD04;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.94376;0.4661079;15.0288;2.796372;0.021186723;1.0423868;1.5222661;4.289252;2.690714;0.1991552;;;;;;;;;;;;;;231.9915;81.66301;30.34423;179.621;15.598725;;245.30966;32.03922;67.13773;7.629186;29.41546;6.037047;0.8923659;6.221378;0.9214341;5.760839;1.0896053;3.101613;0.3992514;2.4028778;;5.15862;;;15.825568;;;;;;;;;;;;35.63065821;3.668487712;25.34825122;22.76807177;6.251138896;0;0;0;0;0;2.596719791;0;0.045323107;0;0;0.442448469;0.471724353;97.22282353;22.65454928;22.79034758;6.246530931;37.16089351;0.470006272;0.442802505;3.958040125;0;3.66465589;-0.184197374;97.20362872;869.2327859;35606.36763;2794.316861;;1.657098012;1.269626511;1.594094356
SP01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;71.97214;0.5289264;14.59754;2.962112;0.029900323;0.9547482;1.5094508;4.934584;2.364188;0.1464085;;;;;;;;;;;;;;281.5616;83.88678;47.83533;257.40296;14.694775;;501.71431;48.10093;91.10722;11.209818;41.32169;7.663761;1.1594587;7.5796;1.4519474;9.161782;1.8371023;5.013108;0.8334826;4.4127505;;8.269669;;;26.479531;;;;;;;;;;;;35.09774548;2.972857116;29.16197857;20.00509979;6.532173636;0;0;0;0;0;2.378400749;0;0.063963433;0;0;0.495479921;0.346787103;97.05448579;26.62238631;20.02467236;6.528310237;36.49645914;0.34552406;0.50248008;3.718332354;0;2.971810404;-0.172088725;97.03788622;639.0145391;40963.46216;3170.913768;;1.581408355;1.218975469;2.08722149
PG01;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;72.21388;0.4712809;14.38781;3.171619;0.033590217;1.1532641;1.5247923;4.395229;2.462265;0.186273;;;;;;;;;;;;;;208.166;77.06795;36.41529;186.06886;15.801286;;248.23375;33.78556;66.32508;7.914914;30.45112;6.730985;0.8483954;6.505831;1.0659508;6.853273;1.2582063;3.891203;0.4616962;3.1471705;;5.337019;;;15.760546;;;;;;;;;;;;36.61692757;3.253162727;25.97454494;20.83500002;6.347836239;0;0;0;0;0;2.872929428;0;0.071856935;0;0;0.433653041;0.441211228;96.84712213;23.0068573;20.85538455;6.343403222;38.31289908;0.43960428;0.447716855;4.373421241;0;3.250605699;-0.201507707;96.82838452;813.0071358;36486.1145;2825.328996;;1.633448125;1.242398704;1.785034917
SB03;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;72.63072;0.4146118;14.34936;2.897715;0.025255539;0.894467;1.2280506;4.709106;2.64657;0.2041489;;;;;;;;;;;;;;228.5983;68.55349;32.13834;167.16945;14.931387;;276.10397;30.97536;61.77612;7.000454;27.82599;6.204289;0.7255156;5.79837;0.9108873;5.943558;1.0576154;2.642465;0.5628479;2.9275673;;4.078831;;;15.580849;;;;;;;;;;;;35.83269752;3.154106884;27.82946814;22.39453755;4.758845615;0;0;0;0;0;2.228232515;0;0.054027208;0;0;0.386346884;0.483552565;97.12181489;25.50069518;22.4164479;4.754527298;37.14045815;0.481791404;0.39388121;3.422934766;0;3.152080245;-0.160526309;97.10228984;891.0282889;39091.70164;2485.597741;;1.518258428;1.228112274;1.779324182
CR05;OROGENIC BELT;////////Peninsula//////;Cape Peninsula;brown4;16;1.6;1.28;Mafic S-types;1- CPG & MPG;gr;granite;h-P;3b granite;granodiorite;//////////;//////;Unpub. Data, A.Villaros, G. Stevens, R. Scheepers (Villaros et al. 2009);;;;72.68455;0.3693858;15.13261;2.179916;0.040703673;0.9707826;1.5894784;4.577128;2.264142;0.1913073;;;;;;;;;;;;;;211.1254;124.63596;24.06578;169.27332;13.032204;;644.00509;29.06878;51.1432;5.91473;21.47811;4.039107;1.0123451;3.966404;0.5065615;3.714585;0.5353283;1.619668;0.2501803;0.8804895;;2.988511;;;7.187166;;;;;;;;;;;;37.69154766;4.021438899;27.04951595;19.15853842;6.635867154;0;0;0;0;0;2.418344505;0;0.087074198;0;0;0.323701034;0.453135606;97.83916343;24.55145969;19.17728274;6.631285709;39.11576441;0.451485228;0.35091651;3.692602082;0;4.02022343;-0.170932022;97.82008777;834.9798416;37996.11267;2214.467871;;1.743546935;1.308002611;2.021572852
