;Tectonic_setting;Location_notes;Pluton;Colour;Symbol;Size_rel;Size;SubGroup;Group;DebonPQ;TASMiddlemostPlut;Villaseca;QANOR;LaRoche;Geol_unit_notes;Rock_type_notes;Ref;Age;Latitude;Longitude;SiO2;TiO2;Al2O3;FeOt;MnO;MgO;CaO;K2O;Na2O;P2O5;H2O;H2Ot;H2O.MINUS;LOI;Li;Be;B;Sc;V;Cr;Ni;Cu;Zn;Rb;Sr;Y;Zr;Nb;Cs;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Ta;Pb;Th;U;Co;Mo;W;Ga;Ge;As;In;Sn;Sb;Cd;Q;C;Or;Ab;An;Ne;Ns;Ks;Di;Wo;Hy;Ol;Il;Tn;Pf;Ru;Ap;Sum_CIPW;Orthoclase;Albite;Anorthite;Quartz;Apatite;Ilmenite;Biotite;Amphibole;Corundum;Rest;sum_meso;P;K;Ti;Cr2O3;A/NK;A/CNK;K2O/Na2O
216262;RIFT VOLCANICS;MID-AFRICAN RIFT SYSTEM / CAMEROON LINE (CONTINENTAL SECTION) / NORTHEASTERN CAMEROON LINE//MBOUTOU MASSIF////////////;Mboutou;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;mzgo;monzodiorite;metaluminous;unclassified;syenodiorite;//////////;/ DIORITE, QUARTZ [8117]//////;Georoc Database [8117];;9.699999809;13.35000038;53.84;2.52;15.32;9.336057061;0.08;3.24;6.4;3.14;4.18;0.005;;;;0.69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.861111716;0;18.55650095;35.36999473;13.76479509;0;0;0;7.386562174;0;4.646988896;0;0.17113777;5.96522056;0;0;0.011843134;88.73415502;33.48686121;35.4046;-4.2476996;-7.8862016;0.0118;2.394;-20.35747073;50.09012633;0;-0.134756516;88.7612591;21.823;26066.082;15107.4;;1.490946146;0.699159012;0.751196172
8564-MC4;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//BASE PLUG III////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;monzodiorite;metaluminous;unclassified;syenodiorite;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;52.26;1.16;21.89;5.19;0.13;1.72;7.32;2.28;5.39;0.54;0.08;;;1.6;;;;6;51;8;2;10;50;61;1102;21;117;54;;2093;;;;;;;;;;;;;;;;;4;4;;;;;;;;;;;;0;0;13.47414719;41.93829966;28.800296;1.988354112;0;0;0.35555282;0;0;2.887099875;0.278098876;0;1.7258443;0;1.279058495;92.72675132;14.05051539;45.6533;24.7234058;-4.6325032;1.2744;1.102;-0.660629723;11.42211501;0;-0.23446883;92.69813445;2356.884;18926.964;6954.2;0.0011692;1.931185044;0.888231798;0.423005566
8571-MC74;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//CAVE HILL////////////;Messum;honeydew3;17;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;gr;granite;metaluminous;2 alkali feldspar granite;alkali granite;//////////;/ SYENITE, QUARTZ [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;72.68;0.27;12.75;3.32;0.07;0.04;0.59;5.27;3.83;0.01;0.91;;;0.58;;;;;;3;;15;82;193;54;78;466;45;;1020;61.7;139;16.5;65.9;14.4;2.83;13.1;2.16;13.2;2.59;7.88;1.13;7.36;1.08;;;18;17;;;;;;;;;;;;29.12426699;0;31.14419109;32.4083923;2.032303926;0;0;0;0.127241876;0;0.040658261;0;0.149745549;0.469350748;0;0;0.023686268;95.51983701;31.93355738;32.4401;1.1719882;28.4200272;0.0236;0.2565;-1.041965911;2.308967053;0;-0.00106987;95.51170405;43.646;43747.851;1618.65;0.00043845;1.062041285;0.97492419;1.375979112
43064;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//DIKE, S HILL IV////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;foid monzosyenite;metaluminous;unclassified;nepheline syenite;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;51.98;1.14;20.03;6.53;0.18;1.93;4.31;4.14;6.8;0.61;0.28;;;1.67;;;;3;43;4;;14;72;157;689;29;314;123;;1217;;;;;;;;;;;;;;;;;8;12;;;;;;;;;;;;0;0;24.46621463;34.15983071;11.90230961;12.66558128;0;0;1.735735762;0;0;2.805327883;0.385059983;0;1.595946227;0;1.444862374;91.16086847;26.5211075;57.596;6.2973624;-14.5669296;1.4396;1.083;-2.839937779;15.83625811;0;-0.235276027;91.1311846;2662.406;34367.382;6834.3;0.0005846;1.278407161;0.852176699;0.608823529
43063;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//DIKE, W PLUG IV////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;foid syenite;metaluminous;unclassified;unclassified;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;56.44;0.14;21.81;2.61;0.13;0.17;1.04;5.22;10.4;0.02;0.13;;;2;;;;;;3;;;64;369;64;64;997;186;;99;;;;;;;;;;;;;;;;;16;17;;;;;;;;;;;;0;0;30.8487054;33.86395547;0;26.68297618;1.136463222;0;0.933284704;1.600468155;0;0;0.266011394;0;0;0;0.047372537;95.37923706;40.49187047;88.088;-10.4177768;-31.2595728;0.0472;0.133;-15.1806427;23.34622338;0;0.137266248;95.3855678;87.292;43332.786;839.3;0.00043845;0.958289641;0.884777691;0.501923077
8568-MC34;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//HILL IV////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;syenite;metaluminous;unclassified;nepheline syenite;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;61.6;0.35;19.71;3.05;0.09;0.54;1.77;6.54;6.05;0.1;0.19;;;0.9;;;;1;10;6;2;7;33;174;175;15;209;60;;820;33.5;52.4;5;17.1;3.03;1.43;2.49;0.42;2.49;0.51;1.53;0.23;1.61;0.25;;;16;9;;;;;;;;;;;;0;0;38.64952746;46.45223995;7.307210179;2.568436382;0;0;0;0;0;0.942678478;0.192529991;0;0.40118458;0.013051137;0.236862684;96.76372085;38.23048349;51.2435;6.4172694;-2.7283976;0.236;0.3325;0.641674274;2.463508115;0;-0.084811326;96.75172635;436.46;54290.502;2098.25;0.0008769;1.157234256;0.973320894;1.080991736
8566-MC24;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//NE OF PLUG III////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;foid monzosyenite;metaluminous;unclassified;unclassified;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;53.41;0.64;21.1;5.28;0.17;1.19;3.27;5.15;7.82;0.37;0.12;;;1.51;;;;2;26;8;;13;69;167;613;23;283;107;;1226;49.3;83.6;7.92;26.2;4.35;1.29;3.69;0.59;3.55;0.72;2.23;0.32;2.32;0.34;;;11;11;;;;;;;;;;;;0;0;30.43502545;28.16313254;7.260255345;20.58982165;0;0;3.878563671;0;0;0.817385577;0.363667762;0;0.763803761;0;0.876391932;93.14804768;35.90710233;66.2354;0.585094;-22.077596;0.8732;0.608;-8.000156619;19.07214996;0;-0.069870169;93.1333235;1614.902;42751.695;3836.8;0.0011692;1.14430149;0.865292589;0.658567775
8569-MC41;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//SUMMIT HILL I////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;foid syenite;metaluminous;unclassified;unclassified;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;54.79;0.41;20.99;4.16;0.15;0.73;1.92;6.02;8.47;0.18;0.24;;;2.9;;;;;12;9;4;8;49;197;238;14;152;58;;495;24.4;48.9;4.63;16.1;2.73;0.87;2.38;0.37;2.26;0.44;1.33;0.19;1.4;0.23;;;8;4;;;;;;;;;;;;0;0;35.57647635;26.85204343;1.472806566;24.27965799;0;0;3.922776793;0.416320007;0;0;0.320883319;0;0.410538674;0;0.426352832;93.67785596;42.71482103;71.7409;-5.5452958;-25.6728568;0.4248;0.3895;-10.59341773;20.19134068;0;0.024211663;93.67400305;785.628;49973.826;2457.95;0.00131535;1.026394192;0.876729926;0.710743802
8573-MC83;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//W END CAMP HILL////////////;Messum;honeydew3;17;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;sq;syenite;metaluminous;6* quartz alkali feldspar syenite;syenite;//////////;/ SYENITE, QUARTZ [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;64.51;0.56;16;4.88;0.23;0.31;1.3;5.65;5.26;0.06;0.3;;;0.86;;;;;3;7;;15;83;206;14;50;540;158;;110;56.6;112;12.5;47.7;9.14;0.78;8.17;1.27;7.77;1.53;4.72;0.72;5.35;0.88;;;13;9;;;;;;;;;;;;9.801939275;0;33.38988229;44.50865366;3.358926615;0;0;0;1.284277996;0;0.176883301;0;0.492021089;0.739051869;0;0;0.142117611;93.8937537;35.69304364;44.5522;0.598134;7.869004;0.1416;0.532;-3.409477604;7.932190674;0;-0.023191211;93.8855035;261.876;46902.345;3357.2;0.00102305;1.083350963;0.93388709;1.074144487
8567-MC28;CONTINENTAL FLOOD BASALT;ETENDEKA PROVINCE - NAMIBIA / SOUTHERN ETENDEKA PROVINCE / MESSUM COMPLEX//W OF HILL IV////////////;Messum;honeydew3;2;1.6;1.28;AlkGran A1  (Rift);6-PAG and syenites;unclassified;foid syenite;metaluminous;unclassified;nepheline syenite;//////////;/ SYENITE, NEPHELINE [1800]//////;Georoc Database [1800];;-21.53000069;14.10000038;58.31;0.48;20.05;4.35;0.16;0.65;1.89;5.48;7.92;0.16;0.04;;;0.59;;;;2;13;16;6;6;71;220;119;55;587;159;;419;68.4;121;12.1;41.6;7.61;1.03;7.07;1.2;7.79;1.64;5.3;0.81;5.84;0.84;;;17;22;;;;;;;;;;;;0;0;32.38523096;41.07027506;2.97167851;14.05603095;0;0;3.35879726;0;0;0.043559525;0.34227554;0;0.510553174;0;0.378980295;95.11738128;37.63072918;67.0824;-2.5217192;-15.8907232;0.3776;0.456;-7.720104054;15.69977945;0;-0.003023975;95.1109382;698.336;45491.124;2877.6;0.0023384;1.057438554;0.895194343;0.691919192
